"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"1/13/2016","1452643200","58256098368","1.13"
"1/14/2016","1452729600","55250356301","1.16"
"1/15/2016","1452816000","57562550443","1.22"
"1/16/2016","1452902400","55150540726","1.22"
"1/17/2016","1452988800","53477721574","1.31"
"1/18/2016","1453075200","53945900879","1.47"
"1/19/2016","1453161600","53767376718","1.37"
"1/20/2016","1453248000","55721616549","1.53"
"1/21/2016","1453334400","60639283859","1.54"
"1/22/2016","1453420800","56195249052","1.52"
"1/23/2016","1453507200","55504259187","2.03"
"1/24/2016","1453593600","58951408559","2.10"
"1/25/2016","1453680000","56752420983","2.50"
"1/26/2016","1453766400","58955359850","2.30"
"1/27/2016","1453852800","58687046251","2.42"
"1/28/2016","1453939200","56180261528","2.55"
"1/29/2016","1454025600","59508641167","2.41"
"1/30/2016","1454112000","67198755701","2.43"
"1/31/2016","1454198400","66544976813","2.20"
"2/1/2016","1454284800","66170097350","2.17"
"2/2/2016","1454371200","65763607541","2.45"
"2/3/2016","1454457600","64138762372","2.53"
"2/4/2016","1454544000","73409019027","2.57"
"2/5/2016","1454630400","68267066894","2.57"
"2/6/2016","1454716800","131916789237","2.53"
"2/7/2016","1454803200","81674346130","3.00"
"2/8/2016","1454889600","80464718771","3.16"
"2/9/2016","1454976000","124510154916","3.76"
"2/10/2016","1455062400","141417210581","4.35"
"2/11/2016","1455148800","66426480457","6.38"
"2/12/2016","1455235200","62799761220","5.27"
"2/13/2016","1455321600","57729244744","5.22"
"2/14/2016","1455408000","53479540613","5.20"
"2/15/2016","1455494400","56788416456","5.22"
"2/16/2016","1455580800","55814592783","4.25"
"2/17/2016","1455667200","54601880947","3.86"
"2/18/2016","1455753600","54513971078","4.36"
"2/19/2016","1455840000","54608221632","4.45"
"2/20/2016","1455926400","53778238540","4.37"
"2/21/2016","1456012800","54255151037","4.63"
"2/22/2016","1456099200","59577980579","5.60"
"2/23/2016","1456185600","61016867321","5.70"
"2/24/2016","1456272000","58177356219","6.23"
"2/25/2016","1456358400","57464169480","5.93"
"2/26/2016","1456444800","54600904591","6.03"
"2/27/2016","1456531200","54108259575","6.31"
"2/28/2016","1456617600","54072562583","6.50"
"2/29/2016","1456704000","58416492222","6.35"
"3/1/2016","1456790400","59690933816","7.59"
"3/2/2016","1456876800","67322497890","8.70"
"3/3/2016","1456963200","56545945782","9.35"
"3/4/2016","1457049600","53626100171","9.96"
"3/5/2016","1457136000","47489912177","11.00"
"3/6/2016","1457222400","47260765636","10.98"
"3/7/2016","1457308800","50440843854","9.50"
"3/8/2016","1457395200","53596473626","9.88"
"3/9/2016","1457481600","38089619702","11.55"
"3/10/2016","1457568000","30204433047","11.11"
"3/11/2016","1457654400","29035652694","11.25"
"3/12/2016","1457740800","29197411911","13.25"
"3/13/2016","1457827200","30820960382","15.00"
"3/14/2016","1457913600","28509995013","12.50"
"3/15/2016","1458000000","26342144976","13.09"
"3/16/2016","1458086400","25523949148","12.92"
"3/17/2016","1458172800","27708932990","11.14"
"3/18/2016","1458259200","26302902480","10.75"
"3/19/2016","1458345600","29326753003","10.55"
"3/20/2016","1458432000","26655411712","10.06"
"3/21/2016","1458518400","26198708915","11.97"
"3/22/2016","1458604800","23516912695","10.96"
"3/23/2016","1458691200","24515668491","12.29"
"3/24/2016","1458777600","24817035022","11.13"
"3/25/2016","1458864000","28125320881","10.69"
"3/26/2016","1458950400","25100050063","11.00"
"3/27/2016","1459036800","23366025518","10.50"
"3/28/2016","1459123200","23293862605","11.58"
"3/29/2016","1459209600","24748798767","11.73"
"3/30/2016","1459296000","29356903690","11.88"
"3/31/2016","1459382400","23943731847","11.41"
"4/1/2016","1459468800","23089731009","11.63"
"4/2/2016","1459555200","22939736669","11.61"
"4/3/2016","1459641600","22705288437","11.58"
"4/4/2016","1459728000","23071306359","11.10"
"4/5/2016","1459814400","22855001812","10.39"
"4/6/2016","1459900800","23774218158","10.79"
"4/7/2016","1459987200","22920002717","10.08"
"4/8/2016","1460073600","23663537901","9.74"
"4/9/2016","1460160000","23374699345","9.16"
"4/10/2016","1460246400","23678330657","8.80"
"4/11/2016","1460332800","23659454582","8.72"
"4/12/2016","1460419200","23059716953","7.54"
